"cd_assunto_trf";"ds_assunto_completo"
"10039";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / MENSALIDADES"
"10040";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / CURRÍCULO ESCOLAR"
"10041";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / INGRESSO NO CURSO SUPERIOR"
"10042";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / JUBILAMENTO DE ALUNO"
"10043";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / CRIAÇÃO E/OU AUTORIZAÇÃO PARA FUNCIONAMENTO DE CURSO SUPERIOR"
"10044";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / OMISSÃO DE ENTREGA DE NOTAS"
"10045";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / DIPLOMAS/CERTIFICADO DE CONCLUSÃO DO CURSO"
"10046";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / FINANCIAMENTO PRIVADO DA EDUCAÇÃO E/OU PESQUISA"
"10047";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / RESIDÊNCIA MÉDICA"
"10048";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / PROVÃO - AVALIAÇÃO DA EDUCAÇÃO SUPERIOR"
"10049";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / SISTEMAS DE COTAS - LEI 10.558/2002"
"10050";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO SUPERIOR / PÓS-GRADUAÇÃO"
"10051";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO FUNDAMENTAL E MÉDIO"
"10052";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO FUNDAMENTAL E MÉDIO / MENSALIDADE"
"10053";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO FUNDAMENTAL E MÉDIO / MATRÍCULA"
"10054";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO FUNDAMENTAL E MÉDIO / MATERIAL DIDÁTICO"
"10055";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO FUNDAMENTAL E MÉDIO / EXAME NACIONAL DE ENSINO MÉDIO / ENEM"
"10056";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO FUNDAMENTAL E MÉDIO / PENALIDADES DISCIPLINARES"
"10057";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO FUNDAMENTAL E MÉDIO / TRANSFERÊNCIA"
"10058";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO FUNDAMENTAL E MÉDIO / ENSINO ESPECIAL"
"10059";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO FUNDAMENTAL E MÉDIO / EXAME SUPLETIVO"
"10060";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO FUNDAMENTAL E MÉDIO / MERENDA"
"10061";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO FUNDAMENTAL E MÉDIO / TRANSPORTE"
"10062";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO FUNDAMENTAL E MÉDIO / EDUCAÇÃO PRÉ-ESCOLAR"
"10063";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / ENSINO FUNDAMENTAL E MÉDIO / EDUCAÇÃO PROFISSIONALIZANTE"
"10064";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / SAÚDE"
"10065";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / SAÚDE / REPASSE DE VERBAS DO SUS"
"10066";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / SAÚDE / REAJUSTE DA TABELA DO SUS"
"10067";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / SAÚDE / CONVÊNIO MÉDICO COM O SUS"
"10069";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / SAÚDE / TRATAMENTO MÉDICO-HOSPITALAR E/OU FORNECIMENTO DE MEDICAMENTOS"
"10070";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / SAÚDE / RESSARCIMENTO AO SUS"
"10071";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / SAÚDE / GENÉTICA / CÉLULAS TRONCO"
"10072";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / SISTEMA NACIONAL DO DESPORTO"
"10073";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / CONCESSÃO / PERMISSÃO / AUTORIZAÇÃO"
"10074";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / CONCESSÃO / PERMISSÃO / AUTORIZAÇÃO / FORNECIMENTO DE GÁS"
"10075";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / CONCESSÃO / PERMISSÃO / AUTORIZAÇÃO / ENERGIA ELÉTRICA"
"10076";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / CONCESSÃO / PERMISSÃO / AUTORIZAÇÃO / TRANSPORTE TERRESTRE"
"10077";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / CONCESSÃO / PERMISSÃO / AUTORIZAÇÃO / TRANSPORTE AÉREO - AEROPORTO"
"10078";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / CONCESSÃO / PERMISSÃO / AUTORIZAÇÃO / RADIODIFUSÃO"
"10079";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / ATOS ADMINISTRATIVOS / LICENÇAS / LOTERIAS/SORTEIO"
"10080";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / CONCESSÃO / PERMISSÃO / AUTORIZAÇÃO / TELEFONIA"
"10081";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / CONCESSÃO / PERMISSÃO / AUTORIZAÇÃO / TRANSPORTE AQUAVIÁRIO"
"10082";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / CONCESSÃO / PERMISSÃO / AUTORIZAÇÃO / SERVIÇO POSTAL"
"10083";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / CONCESSÃO / PERMISSÃO / AUTORIZAÇÃO / Tabelionatos, Registros, Cartórios"
"10084";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / ATOS ADMINISTRATIVOS / LICENÇAS / JOGOS DE BINGO E/OU CAÇA-NÍQUEIS"
"10085";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / CONCESSÃO / PERMISSÃO / AUTORIZAÇÃO / Água e/ou Esgoto"
"10086";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / CONCESSÃO / PERMISSÃO / AUTORIZAÇÃO / Recolhimento e Tratamento de Lixo"
"10087";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / SERVIÇOS / DEFENSORIA PÚBLICA"
"10088";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Domínio Público"
"10089";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Domínio Público (10088) / Bens Públicos"
"10090";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / DOMÍNIO PÚBLICO / BENS PÚBLICOS / LOCAÇÃO / PERMISSÃO / CONCESSÃO / AUTORIZAÇÃO / CESSÃO DE USO"
"10091";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / DOMÍNIO PÚBLICO / BENS PÚBLICOS / TERRENO DE MARINHA"
"10092";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / DOMÍNIO PÚBLICO / BENS PÚBLICOS / TAXA DE OCUPAÇÃO"
"10093";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / DOMÍNIO PÚBLICO / BENS PÚBLICOS / FORO / LAUDÊMIO"
"10094";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / DOMÍNIO PÚBLICO / BENS PÚBLICOS / TERRAS DEVOLUTAS"
"10095";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / DOMÍNIO PÚBLICO / BENS PÚBLICOS / ÁGUAS PÚBLICAS"
"10096";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Domínio Público (10088) / Bens Públicos (10089) / Bloqueio de Valores de Contas Públicas"
"10097";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Domínio Público (10088) / Imóvel Funcional"
"10098";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Domínio Público (10088) / Imóvel Funcional (10097) / Alienação"
"10099";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Domínio Público (10088) / Imóvel Funcional (10097) / Ocupação"
"10100";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Domínio Público (10088) / Imóvel Funcional (10097) / Reintegração de Posse"
"10101";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) / Domínio Público (10088) / Imóvel Funcional (10097) / Taxa de Ocupação"
"10102";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / DOMÍNIO PÚBLICO / TERRAS INDÍGENAS"
"10103";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / DOMÍNIO PÚBLICO / TERRAS INDÍGENAS / TERRENO ALDEADO"
"10104";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / DOMÍNIO PÚBLICO / TERRAS INDÍGENAS / RESTITUIÇÃO DE ÁREA - FUNAI"
"10105";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / DOMÍNIO PÚBLICO / TERRAS INDÍGENAS / DEMARCAÇÃO"
"10106";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / DOMÍNIO PÚBLICO / RECURSOS MINERAIS"
"10107";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / DOMÍNIO PÚBLICO / ESPAÇO AÉREO"
"10108";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / DOMÍNIO PÚBLICO / PATRIMÔNIO HISTÓRICO / TOMBAMENTO"
"10109";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / DOMÍNIO PÚBLICO / Ordenação da Cidade / Plano Diretor"
"10110";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / MEIO AMBIENTE"
"10111";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / MEIO AMBIENTE / REVOGAÇÃO/CONCESSÃO DE LICENÇA AMBIENTAL"
"10112";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / MEIO AMBIENTE / REVOGAÇÃO/ANULAÇÃO DE MULTA AMBIENTAL"
"10113";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / MEIO AMBIENTE / FLORA"
"10114";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / MEIO AMBIENTE / FAUNA"
"10115";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / MEIO AMBIENTE / TRANSGÊNICOS"
"10116";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / MEIO AMBIENTE / AGROTÓXICOS"
"10118";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / MEIO AMBIENTE / UNIDADE DE CONSERVAÇÃO DA NATUREZA"
"10119";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / MEIO AMBIENTE / GESTÃO DE FLORESTAS PÚBLICAS"
"10120";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO DO ESTADO NA PROPRIEDADE"
"10121";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO DO ESTADO NA PROPRIEDADE / DESAPROPRIAÇÃO"
"10122";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO DO ESTADO NA PROPRIEDADE / DESAPROPRIAÇÃO POR UTILIDADE PÚBLICA / DL 3.365/1941"
"10123";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO DO ESTADO NA PROPRIEDADE / DESAPROPRIAÇÃO POR INTERESSE SOCIAL COMUM / L 4.132/1962"
"10124";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO DO ESTADO NA PROPRIEDADE / DESAPROPRIAÇÃO POR INTERESSE SOCIAL PARA REFORMA AGRÁRIA"
"10125";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO DO ESTADO NA PROPRIEDADE / DESAPROPRIAÇÃO INDIRETA"
"10126";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO DO ESTADO NA PROPRIEDADE / RETROCESSÃO"
"10127";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO DO ESTADO NA PROPRIEDADE / VISTORIA"
"10128";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO DO ESTADO NA PROPRIEDADE / SERVIDÃO ADMINISTRATIVA"
"10129";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO DO ESTADO NA PROPRIEDADE / OCUPAÇÃO TEMPORÁRIA"
"10130";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO DO ESTADO NA PROPRIEDADE / LIMITAÇÃO ADMINISTRATIVA"
"10131";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / DOMÍNIO PÚBLICO / PRIVATIZAÇÃO"
"10132";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO DO ESTADO NA PROPRIEDADE / RESTITUIÇÃO DE ÁREA"
"10133";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO DO ESTADO NA PROPRIEDADE / DIREITO DE PREEMPÇÃO"
"10134";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO DO ESTADO NA PROPRIEDADE / DESAPROPRIAÇÃO DE IMÓVEL URBANO"
"10135";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO DO ESTADO NA PROPRIEDADE / REQUISIÇÃO DE BEM PARTICULAR"
"10136";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO NO DOMÍNIO ECONÔMICO"
"10137";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO NO DOMÍNIO ECONÔMICO / POLÍTICA DE PREÇO MÍNIMO"
"10138";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO NO DOMÍNIO ECONÔMICO / CONTROLE DE PREÇOS"
"10139";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO NO DOMÍNIO ECONÔMICO / CONTROLE DE ABASTECIMENTO"
"10140";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO NO DOMÍNIO ECONÔMICO / IMPORTAÇÕES"
"10141";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO NO DOMÍNIO ECONÔMICO / IMPORTAÇÕES / DESEMBARAÇO ADUANEIRO"
"10142";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO NO DOMÍNIO ECONÔMICO / IMPORTAÇÕES / REGIME OU CERTIFICADO DE ORIGEM MERCOSUL"
"10143";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO NO DOMÍNIO ECONÔMICO / IMPORTAÇÕES / VEÍCULO DE TURISTA COMUNITÁRIO MERCOSUL"
"10144";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO NO DOMÍNIO ECONÔMICO / INCENTIVO"
"10145";"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO / INTERVENÇÃO NO DOMÍNIO ECONÔMICO / INCENTIVO / PROAGRO"
